scenario,variable,value,unit,rationale,macro_context
Baseline,GNPA_delta_pp,0.0,pp,No shock — use FY24 reported GNPA,"Stable GDP ~7%, RBI repo 6.5%, inflation ~5%, credit growth 14%"
Baseline,NIM_delta_pp,0.0,pp,No shock — use FY24 reported NIM,"Stable GDP ~7%, RBI repo 6.5%, inflation ~5%, credit growth 14%"
Baseline,CAR_delta_pp,0.0,pp,No shock — use FY24 reported CAR,"Stable GDP ~7%, RBI repo 6.5%, inflation ~5%, credit growth 14%"
Baseline,Credit_cost_mult,1.0,multiplier/rate,1x multiplier — normal provisioning,"Stable GDP ~7%, RBI repo 6.5%, inflation ~5%, credit growth 14%"
Baseline,ROA_delta_pp,0.0,pp,No shock — use FY24 reported ROA,"Stable GDP ~7%, RBI repo 6.5%, inflation ~5%, credit growth 14%"
Baseline,NIM_compression_pp,0.0,pp,No rate shock,"Stable GDP ~7%, RBI repo 6.5%, inflation ~5%, credit growth 14%"
Baseline,NPA_upgrade_rate,0.1,multiplier/rate,10% of GNPA upgrades/recovers annually (normal),"Stable GDP ~7%, RBI repo 6.5%, inflation ~5%, credit growth 14%"
Moderate_Stress,GNPA_delta_pp,2.5,pp,RBI FSR Jun 2021: system GNPA rose ~200-300bps under baseline stress. Using 250bps.,"GDP contraction -7.3% (FY21), repo cut to 4%, moratorium lifted, restructuring spike"
Moderate_Stress,NIM_delta_pp,-0.4,pp,Rate cuts of 115bps in FY21 → NIM compression ~40bps for most banks,"GDP contraction -7.3% (FY21), repo cut to 4%, moratorium lifted, restructuring spike"
Moderate_Stress,CAR_delta_pp,-1.2,pp,Higher RWA from NPA + provisioning drag on retained earnings,"GDP contraction -7.3% (FY21), repo cut to 4%, moratorium lifted, restructuring spike"
Moderate_Stress,Credit_cost_mult,1.8,multiplier/rate,Credit costs ~1.8x normal; RBI FSR FY21 confirmed elevated provisioning,"GDP contraction -7.3% (FY21), repo cut to 4%, moratorium lifted, restructuring spike"
Moderate_Stress,ROA_delta_pp,-0.5,pp,Profitability hit from provisioning surge and NIM compression,"GDP contraction -7.3% (FY21), repo cut to 4%, moratorium lifted, restructuring spike"
Moderate_Stress,NIM_compression_pp,-0.4,pp,Same as NIM_delta — rate transmission lag,"GDP contraction -7.3% (FY21), repo cut to 4%, moratorium lifted, restructuring spike"
Moderate_Stress,NPA_upgrade_rate,0.05,multiplier/rate,5% recovery rate — stressed economy slows resolutions,"GDP contraction -7.3% (FY21), repo cut to 4%, moratorium lifted, restructuring spike"
Severe_Stress,GNPA_delta_pp,4.5,pp,2015-16 AQR: gross NPA shock 400-500bps. Using 450bps as midpoint.,"GNPA peaked ~9.5% system-wide FY18, RBI repo hike +100bps, credit growth stalled <5%"
Severe_Stress,NIM_delta_pp,-0.7,pp,Rate hike 100bps + deposit repricing faster than lending: NIM hit ~70bps,"GNPA peaked ~9.5% system-wide FY18, RBI repo hike +100bps, credit growth stalled <5%"
Severe_Stress,CAR_delta_pp,-2.5,pp,Massive provisioning requirement erodes Tier-1 capital significantly,"GNPA peaked ~9.5% system-wide FY18, RBI repo hike +100bps, credit growth stalled <5%"
Severe_Stress,Credit_cost_mult,3.0,multiplier/rate,Credit costs 3x normal — AQR-style reclassification wave,"GNPA peaked ~9.5% system-wide FY18, RBI repo hike +100bps, credit growth stalled <5%"
Severe_Stress,ROA_delta_pp,-1.2,pp,"Combined hit: NIM down, provisions up → ROA crashes for PSBs","GNPA peaked ~9.5% system-wide FY18, RBI repo hike +100bps, credit growth stalled <5%"
Severe_Stress,NIM_compression_pp,-0.7,pp,Rate hike + credit risk spread widening,"GNPA peaked ~9.5% system-wide FY18, RBI repo hike +100bps, credit growth stalled <5%"
Severe_Stress,NPA_upgrade_rate,0.02,multiplier/rate,"2% recovery — severely distressed, resolution frozen","GNPA peaked ~9.5% system-wide FY18, RBI repo hike +100bps, credit growth stalled <5%"
